UniqueID,Filename/FlightID,Year,Month,Day,Date,Critical Period,Day Type,Creel Subarea,GMA,PFMA,Pin ID,"Date Created
(Timestamp from Avenza Maps)",Latitude,Longitude,1. Rec Boat Fishing,2. Rec Boats Running,3. Commercial Vessel Fishing,4. Commercial Vessel Not Fishing,5. Small Commercial Vessel,6. Large Commercial Vessel,7.  Whale Watching Boat,8. Orcas,9. Whales,10. Sea State,Description,
2023_12341440_48411583,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19D,SOG,19-3,Placemark 31,2023_03_05T16:04:46-07:00,48.411584,-123.4144,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12339672_48404082,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19D,SOG,19-3,Placemark 32,2023_03_05T16:05:11-07:00,48.404083,-123.396722,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12335280_48396160,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19D,SOG,19-3,Placemark 33,2023_03_05T16:05:20-07:00,48.396161,-123.352806,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12330240_48381157,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19D,SOG,19-3,Placemark 34,2023_03_05T16:05:37-07:00,48.381158,-123.302406,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12325497_48420249,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19C,SOG,19-4,Placemark 35,2023_03_05T16:05:56-07:00,48.42025,-123.254971,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12327779_48582570,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19B,SOG,19-5,Placemark 36,2023_03_05T16:06:57-07:00,48.582571,-123.277793,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12329681_48581135,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19B,SOG,19-5,Placemark 37,2023_03_05T16:07:11-07:00,48.581135,-123.296818,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12334521_48611623,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19B,SOG,19-5,Placemark 38,2023_03_05T16:07:50-07:00,48.611624,-123.345211,6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12334516_48648249,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19B,SOG,19-5,Placemark 39,2023_03_05T16:08:10-07:00,48.64825,-123.345167,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12336933_48672674,20230305_3305_SOGS,2023,3,5,2023-03-05,<Null>,Weekend,19B,SOG,19-5,Placemark 40,2023_03_05T16:08:30-07:00,48.672674,-123.369338,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12349346_48685838,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19A,SOG,19-7,Placemark 1,2023_03_12T09:39:53-07:00,48.685839,-123.493463,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12349052_48679144,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19A,SOG,19-7,Placemark 2,2023_03_12T09:40:03-07:00,48.679144,-123.490523,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12411336_48419605,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20C,SOG,20-4,Placemark 3,2023_03_12T09:41:02-07:00,48.419605,-124.113364,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12365436_48380714,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20DI,SOG,20-7,Placemark 4,2023_03_12T09:41:36-07:00,48.380715,-123.654368,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12372877_48343075,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20D,SOG,20-5,Placemark 5,2023_03_12T09:41:48-07:00,48.343076,-123.728774,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12370887_48324331,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20D,SOG,20-5,Placemark 6,2023_03_12T09:41:59-07:00,48.324332,-123.708878,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12375883_48347199,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20D,SOG,20-5,Placemark 7,2023_03_12T09:42:23-07:00,48.3472,-123.758837,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12377989_48335662,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20D,SOG,20-5,Placemark 8,2023_03_12T09:42:36-07:00,48.335662,-123.77989,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12362496_48317891,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20D,SOG,20-5,Placemark 9,2023_03_12T09:42:55-07:00,48.317891,-123.624968,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12359897_48331885,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20DB,SOG,20-5,Placemark 10,2023_03_12T09:44:36-07:00,48.331886,-123.598974,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12359506_48302596,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20D,SOG,20-5,Placemark 11,2023_03_12T09:44:56-07:00,48.302597,-123.595061,11,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12353948_48332227,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,20D,SOG,20-5,Placemark 12,2023_03_12T09:45:14-07:00,48.332227,-123.539481,8,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12351462_48320670,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19E,SOG,19-3,Placemark 13,2023_03_12T09:45:31-07:00,48.32067,-123.514626,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12346811_48336351,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19E,SOG,19-3,Placemark 14,2023_03_12T09:45:43-07:00,48.336352,-123.46811,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12345950_48378421,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19D,SOG,19-3,Placemark 15,2023_03_12T09:46:01-07:00,48.378422,-123.459507,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12344762_48420269,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19D,SOG,19-3,Placemark 16,2023_03_12T09:46:52-07:00,48.42027,-123.447627,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12339442_48417594,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19D,SOG,19-1,Placemark 17,2023_03_12T09:47:04-07:00,48.417595,-123.394422,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12340150_48401175,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19D,SOG,19-3,Placemark 18,2023_03_12T09:47:23-07:00,48.401176,-123.401509,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12330567_48387479,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19D,SOG,19-3,Placemark 19,2023_03_12T09:47:39-07:00,48.38748,-123.305671,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12326310_48426766,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19C,SOG,19-4,Placemark 20,2023_03_12T09:47:50-07:00,48.426766,-123.263104,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12330060_48550000,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19B,SOG,19-5,Placemark 21,2023_03_12T09:48:28-07:00,48.550001,-123.300607,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12326162_48593788,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19B,SOG,19-5,Placemark 22,2023_03_12T09:48:39-07:00,48.593789,-123.261624,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12326896_48608436,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19B,SOG,19-5,Placemark 23,2023_03_12T09:48:48-07:00,48.608436,-123.268963,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12332142_48609901,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19B,SOG,19-5,Placemark 24,2023_03_12T09:49:00-07:00,48.609902,-123.321421,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12334585_48612410,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19B,SOG,19-5,Placemark 25,2023_03_12T09:49:09-07:00,48.61241,-123.345851,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12337892_48663983,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19B,SOG,19-5,Placemark 26,2023_03_12T09:49:22-07:00,48.663984,-123.378928,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12334134_48673222,20230312_3305_SOGS,2023,3,12,2023-03-12,<Null>,Weekend,19B,SOG,19-5,Placemark 27,2023_03_12T09:49:33-07:00,48.673223,-123.341347,<Null>,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12424960_48440737,20230316_3304_SOGS,2023,3,16,2023-03-16,<Null>,Weekday,20C,SOG,20-4,Placemark 1,2023_03_16T10:12:15-07:00,48.440738,-124.249609,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12355298_48338544,20230316_3304_SOGS,2023,3,16,2023-03-16,<Null>,Weekday,20D,SOG,20-5,Placemark 2,2023_03_16T10:12:54-07:00,48.338545,-123.552983,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12354170_48332896,20230316_3304_SOGS,2023,3,16,2023-03-16,<Null>,Weekday,20D,SOG,20-5,Placemark 3,2023_03_16T10:13:05-07:00,48.332897,-123.541701,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12350282_48339261,20230316_3304_SOGS,2023,3,16,2023-03-16,<Null>,Weekday,19E,SOG,19-3,Placemark 4,2023_03_16T10:19:56-07:00,48.339261,-123.502827,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12347638_48348458,20230316_3304_SOGS,2023,3,16,2023-03-16,<Null>,Weekday,19E,SOG,19-3,Placemark 5,2023_03_16T10:20:15-07:00,48.348458,-123.476385,7,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12348810_48334061,20230316_3304_SOGS,2023,3,16,2023-03-16,<Null>,Weekday,19E,SOG,19-3,Placemark 6,2023_03_16T10:20:33-07:00,48.334062,-123.488107,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12357396_48306295,20230316_3304_SOGS,2023,3,16,2023-03-16,<Null>,Weekday,20D,SOG,20-5,Placemark 7,2023_03_16T10:20:48-07:00,48.306295,-123.573967,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
2023_12359030_48297598,20230316_3304_SOGS,2023,3,16,2023-03-16,<Null>,Weekday,20D,SOG,20-5,Placemark 8,2023_03_16T10:21:00-07:00,48.297599,-123.590301,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,
