UniqueID,Filename/FlightID,Year,Month,Day,Date,Critical Period,Day Type,Creel Subarea,GMA,PFMA,Pin ID,"Date Created
(Timestamp from Avenza Maps)",Latitude,Longitude,1. Rec Boat Fishing,2. Rec Boats Running,3. Commercial Vessel Fishing,4. Commercial Vessel Not Fishing,5. Small Commercial Vessel,6. Large Commercial Vessel,7.  Whale Watching Boat,8. Orcas,9. Whales,10. Sea State,Description,Notes,COUNT (1/2)
2021_12325634_48457087,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 22,2023-06-26T15:06:58-07:00,48.457087,-123.256346,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12331780_48516611,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 23,2023-06-26T15:07:28-07:00,48.516612,-123.317809,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12326399_48554369,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 24,2023-06-26T15:08:05-07:00,48.55437,-123.263995,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12325819_48598414,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 25,2023-06-26T15:08:20-07:00,48.598414,-123.258191,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12330150_48572068,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 26,2023-06-26T15:08:41-07:00,48.572069,-123.301506,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12331646_48592356,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 27,2023-06-26T15:09:02-07:00,48.592357,-123.316469,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12334574_48618322,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 28,2023-06-26T15:09:16-07:00,48.618322,-123.345747,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12331605_48651843,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 29,2023-06-26T15:09:46-07:00,48.651843,-123.316059,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1
2021_12350101_48687816,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19A,SOG,19-7,Placemark 3,2023-06-26T14:50:15-07:00,48.687817,-123.501018,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,<Null>,<Null>,1
2021_12337339_48674716,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19B,SOG,19-5,Placemark 30,2023-06-26T15:10:13-07:00,48.674717,-123.373395,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12349932_48683556,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19A,SOG,19-7,Placemark 4,2023-06-26T14:50:45-07:00,48.683557,-123.499329,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,<Null>,<Null>,1
2021_12349339_48670133,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,19A,SOG,19-7,Placemark 5,2023-06-26T14:51:40-07:00,48.670133,-123.493391,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,<Null>,<Null>,1
2021_12372437_48325641,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 6,2023-06-26T14:55:49-07:00,48.325642,-123.724371,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12362528_48319964,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,20D,SOG,20-5,Placemark 7,2023-06-26T14:56:26-07:00,48.319965,-123.625282,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12362083_48333002,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,20DB,SOG,20-5,Placemark 8,2023-06-26T14:57:15-07:00,48.333003,-123.620839,<Null>,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12360912_48331629,20210301_3157_SOGS,2021,3,1,2021-03-01,<Null>,Weekday,20DB,SOG,20-5,Placemark 9,2023-06-26T14:57:38-07:00,48.33163,-123.609127,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12352790_48656912,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19A,SOG,19-7,Placemark 1,2023-06-27T08:43:29-07:00,48.656913,-123.527902,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12356439_48304634,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,20D,SOG,20-5,Placemark 10,2023-06-27T08:50:43-07:00,48.304634,-123.56439,5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12353403_48332472,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,20D,SOG,20-5,Placemark 11,2023-06-27T08:51:28-07:00,48.332472,-123.534038,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12351755_48291990,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19E,SOG,19-3,Placemark 12,2023-06-27T08:52:08-07:00,48.29199,-123.517553,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12348003_48314208,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19E,SOG,19-3,Placemark 13,2023-06-27T08:52:30-07:00,48.314208,-123.48004,18,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12344817_48353125,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 14,2023-06-27T08:53:51-07:00,48.353125,-123.448176,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12344191_48368830,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 15,2023-06-27T08:54:24-07:00,48.36883,-123.441913,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12340121_48357757,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 16,2023-06-27T08:54:47-07:00,48.357758,-123.401218,9,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12332671_48328487,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 17,2023-06-27T08:55:16-07:00,48.328488,-123.326712,9,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12331383_48340847,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 18,2023-06-27T08:55:36-07:00,48.340848,-123.313834,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_1232803_48338517,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 19,2023-06-27T08:55:56-07:00,48.338517,-123.2803,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12348292_48619483,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19A,SOG,19-8,Placemark 2,2023-06-27T08:44:13-07:00,48.619484,-123.482922,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12330761_48389325,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 20,2023-06-27T09:03:58-07:00,48.389325,-123.307611,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,<Null>,<Null>,1
2021_12336671_48400056,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 21,2023-06-27T09:04:21-07:00,48.400057,-123.366712,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12339099_48405075,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 22,2023-06-27T09:05:10-07:00,48.405075,-123.390996,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12341356_48410612,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-3,Placemark 23,2023-06-27T09:05:27-07:00,48.410612,-123.413564,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12339201_48419649,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-1,Placemark 24,2023-06-27T09:06:02-07:00,48.419649,-123.392016,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12339444_48420818,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19D,SOG,19-1,Placemark 25,2023-06-27T09:06:20-07:00,48.420819,-123.394441,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12319269_48444319,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19C,SOG,19-4,Placemark 26,2023-06-27T09:07:31-07:00,48.44432,-123.192695,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,<Null>,<Null>,1
2021_12318675_48418313,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19C,SOG,19-4,Placemark 27,2023-06-27T09:07:59-07:00,48.418314,-123.186752,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,<Null>,<Null>,1
2021_12321553_48435036,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19C,SOG,19-4,Placemark 28,2023-06-27T09:08:15-07:00,48.435036,-123.215532,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,<Null>,<Null>,1
2021_12324080_48472502,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 29,2023-06-27T09:09:47-07:00,48.472502,-123.240803,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12353965_48521967,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19A,SOG,19-11,Placemark 3,2023-06-27T08:45:14-07:00,48.521967,-123.539656,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12326349_48524302,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 30,2023-06-27T09:10:07-07:00,48.524303,-123.263496,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12336193_48600460,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 31,2023-06-27T09:10:34-07:00,48.600461,-123.36194,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12333805_48617964,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 32,2023-06-27T09:10:59-07:00,48.617964,-123.338051,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12326401_48638470,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 33,2023-06-27T09:11:31-07:00,48.63847,-123.264017,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12328293_48645742,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 34,2023-06-27T09:11:47-07:00,48.645742,-123.282935,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12332861_48648565,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 35,2023-06-27T09:12:09-07:00,48.648566,-123.328619,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12334988_48658860,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 36,2023-06-27T09:12:27-07:00,48.658861,-123.349888,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12333140_48668995,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 37,2023-06-27T09:12:43-07:00,48.668995,-123.331401,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12334770_48675355,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,19B,SOG,19-5,Placemark 38,2023-06-27T09:13:11-07:00,48.675356,-123.347704,4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12396216_48384030,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,20C,SOG,20-4,Placemark 4,2023-06-27T08:46:51-07:00,48.38403,-123.962163,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12399525_48377961,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,20C,SOG,20-4,Placemark 5,2023-06-27T08:47:45-07:00,48.377962,-123.995252,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12371623_48331584,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,20D,SOG,20-5,Placemark 6,2023-06-27T08:48:33-07:00,48.331584,-123.716231,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12364911_48310632,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,20D,SOG,20-5,Placemark 7,2023-06-27T08:49:12-07:00,48.310632,-123.649115,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12361189_48331316,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,20DB,SOG,20-5,Placemark 8,2023-06-27T08:49:49-07:00,48.331316,-123.611897,7,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12360101_48308984,20210310_3157_SOGS,2021,3,10,2021-03-10,<Null>,Weekday,20D,SOG,20-5,Placemark 9,2023-06-27T08:50:17-07:00,48.308984,-123.601019,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12360578_48334869,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,20DB,SOG,20-5,Placemark 7,2023-06-27T11:28:06-07:00,48.334869,-123.605787,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,Added back to the compilation.,1
2021_12352053_48677695,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19A,SOG,19-7,Placemark 1,2023-06-27T11:24:42-07:00,48.677695,-123.520537,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12343773_48343363,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19D,SOG,19-3,Placemark 10,2023-06-27T11:30:36-07:00,48.343364,-123.437737,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12345095_48406522,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19D,SOG,19-3,Placemark 11,2023-06-27T11:31:00-07:00,48.406522,-123.450953,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12345245_48424908,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19D,SOG,19-3,Placemark 12,2023-06-27T11:31:21-07:00,48.424908,-123.452458,9,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12328025_48409327,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19C,SOG,19-4,Placemark 13,2023-06-27T11:31:53-07:00,48.409328,-123.280255,<Null>,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12325952_48408236,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19C,SOG,19-4,Placemark 14,2023-06-27T11:32:16-07:00,48.408237,-123.25952,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12330676_48547718,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19B,SOG,19-5,Placemark 15,2023-06-27T11:32:52-07:00,48.547719,-123.306761,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12324908_48606840,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19B,SOG,19-5,Placemark 16,2023-06-27T11:33:16-07:00,48.60684,-123.24908,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12335035_48625241,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19B,SOG,19-5,Placemark 17,2023-06-27T11:33:35-07:00,48.625241,-123.350358,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12334146_48629836,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19B,SOG,19-5,Placemark 18,2023-06-27T11:33:52-07:00,48.629837,-123.341463,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12337975_48657654,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19B,SOG,19-5,Placemark 19,2023-06-27T11:34:13-07:00,48.657654,-123.379753,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12371710_48331787,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,20D,SOG,20-5,Placemark 2,2023-06-27T11:25:46-07:00,48.331788,-123.717107,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12335891_48671405,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19B,SOG,19-5,Placemark 20,2023-06-27T11:34:33-07:00,48.671406,-123.358911,4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12338692_48669132,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19B,SOG,19-5,Placemark 21,2023-06-27T11:34:54-07:00,48.669133,-123.38692,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12364123_48304540,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,20D,SOG,20-5,Placemark 3,2023-06-27T11:26:15-07:00,48.304541,-123.641237,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12357086_48301091,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,20D,SOG,20-5,Placemark 4,2023-06-27T11:26:54-07:00,48.301092,-123.57087,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12362456_48322518,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,20D,SOG,20-5,Placemark 5,2023-06-27T11:27:12-07:00,48.322519,-123.624568,5,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12361190_48332242,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,20DB,SOG,20-5,Placemark 6,2023-06-27T11:27:45-07:00,48.332243,-123.611902,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12352485_48318746,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19E,SOG,19-3,Placemark 8,2023-06-27T11:28:54-07:00,48.318746,-123.524858,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12333430_48336170,20210314_3157_SOGS,2021,3,14,2021-03-14,<Null>,Weekend,19D,SOG,19-3,Placemark 9,2023-06-27T11:30:10-07:00,48.33617,-123.334304,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
2021_12352145_48660862,20210321_3157_SOGS,2021,3,21,2021-03-21,<Null>,Weekend,19A,SOG,19-7,Placemark 1,2023-06-27T11:47:08-07:00,48.660863,-123.52146,<Null>,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,<Null>,<Null>,1
2021_12361989_48333668,20210321_3157_SOGS,2021,3,21,2021-03-21,<Null>,Weekend,20DB,SOG,20-5,Placemark 10,2023-06-27T11:52:29-07:00,48.333668,-123.619898,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,<Null>,<Null>,1
