ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Temp_C,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Poc,Pisaster ochraceus,Ochre star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,,Brachyura sp.,Unidentified crab species,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,1,Ppr,Pugettia producta,Kelp crab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,0,0,Hde,Hexagrammos decagrammus,Kelp greenling,3,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,1,2,Hde,Hexagrammos decagrammus,Kelp greenling,6,,,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Mfr,Mesocentrotus franciscanus,Red sea urchin,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Pmi,Patiria miniata,Bat star,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Poc,Pisaster ochraceus,Ochre star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Hka,Haliotis kamtschatkana,Northern abalone,18,,,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Ami,Acmaea mitra,Whitecap limpet,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Oko,Orthasterias koehleri,Rainbow sea star,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Cgi,Crassadoma gigantea,Giant rock scallop,3,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Cfo,Ceratostoma foliatum,Leafy hornmouth snail,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Dim,Dermasterias imbricata,Leather star,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,dew,Debris - Wood,Any timber debris > 10cm,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Pgi,Pomaulax gibberosus,Red turban snail,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Gor,Glebocarcinus oregonensis,Pygmy rock crab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Hermit,Paguroidea spp.,Unidentified Hermit crab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Aca,Apostichopus californicus,California sea cucumber,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Jzo,Jordania zonope,Longfin sculpin,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Rni,Rhinogobiops nicholsii,Blackeye goby,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Aha,Artedius harringtoni,Scalyhead sculpin,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Das,Diodora aspera,Rough keyhole limpet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Hcr,Hermissenda crassicornis,Thick-horned nudibranch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Etr,Evasterias troschelii,Mottled sea star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,2,2,Ppr,Pugettia producta,Kelp crab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,0,0,Sca,Sebastes caurinus,Copper rockfish,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,0,0,Sme,Sebastes melanops,Black rockfish,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,0,0,Phe,Pycnopodia helianthoides,Sunflower star <10cm,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,0,0,dez,Debris - Zero,No Debris found,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC16,Faber Islets,48.8907,-125.3005,27/04/2022,2,NW,12:40,EGL,,5.5,0,0,Opi,Oxylebius pictus,Painted greenling,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,1,1,Hde,Hexagrammos decagrammus,Kelp greenling,5,,,,,1,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Mfr,Mesocentrotus franciscanus,Red sea urchin,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Pmi,Patiria miniata,Bat star,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Dim,Dermasterias imbricata,Leather star,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Aca,Apostichopus californicus,California sea cucumber,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Pgi,Pomaulax gibberosus,Red turban snail,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Cfo,Ceratostoma foliatum,Leafy hornmouth snail,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Oko,Orthasterias koehleri,Rainbow sea star,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Poc,Pisaster ochraceus,Ochre star,4,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Jzo,Jordania zonope,Longfin sculpin,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Hka,Haliotis kamtschatkana,Northern abalone,8,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Aha,Artedius harringtoni,Scalyhead sculpin,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Ami,Acmaea mitra,Whitecap limpet,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Spu,Strongylocentrotus purpuratus,Purple sea urchin,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Cgi,Crassadoma gigantea,Giant rock scallop,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Tsp,Tecturas sp.,Unidentified limpet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,Lco,Limacia cockerelli,Cockerell's Dorid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,1,dez,Debris - Zero,No Debris found,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,0,0,Hde,Hexagrammos decagrammus,Kelp greenling,3,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jasmin Schuster,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,0,0,Hst,Hexagrammos stelleri ,White-spotted greenling,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,1,2,Hde,Hexagrammos decagrammus,Kelp greenling,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,1,2,Bin,Bolinopsis infundibulum,Common comb jellyfish,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,0,0,Zca,Zalophus californianus,California sea lion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,2,Mfr,Mesocentrotus franciscanus,Red sea urchin,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,2,Oko,Orthasterias koehleri,Rainbow sea star,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,2,Pmi,Patiria miniata,Bat star,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,2,Aca,Apostichopus californicus,California sea cucumber,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,2,Aha,Artedius harringtoni,Scalyhead sculpin,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,2,Hka,Haliotis kamtschatkana,Northern abalone,16,,6,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Em Lim,Jasmin Schuster,BMSC8,Baeria Rocks North Island Northside,48.955081,-125.153373,28/04/2022,3,SE,14:25,EGL,,6,2,2,Hermit,Paguroidea spp.,Unidentified Hermit crab,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
